>test 测试
>NpcManager_btnPutNpcList 粘贴数据
>NpcManager_btnUpdataNpcList MEN
>NpcManager_btnUpdataAllNpcList NPC
>NpcManager_btnListBuff AllMF
>NpcManager_btnListFeature AllFT
>NpcManager_btnListExperience AllEP
>NpcManager_btnListMood AllMO

>NpcManager_Tips1 可直接突破当前瓶颈(不论修为多少，有小境界加成)
>NpcManager_Tips2 尝试用天雷的力量惩戒该NPC
>NpcManager_Tips3 直接用无上力量击杀该NPC
>NpcManager_Tips4 移除，抹灭该NPC存在过的一切痕迹
>NpcManager_Tips5 卸掉所有的装备，道具
>NpcManager_Tips6 移除所有的损伤，修复所有的伤势
>NpcManager_Tips7 对身体部件进行再造
>NpcManager_Tips8 可以使该NPC从弥留阶段满血复活
>NpcManager_Tips9 通过NPC尸体来复活该NPC
>NpcManager_Tips10 干掉当前的劫云
>NpcManager_Tips11 单纯的提升一个阶段(无小境界加成，不推荐使用)
>NpcManager_Tips12 使所有的执念显现
>NpcManager_Tips13 清空所有的执念的值
>NpcManager_Tips14 斩断所有的执念
>NpcManager_Tips15 该功能仅用于神修的招收在该地图的所有非己方的有智慧的NPC为信徒。\n默认信仰为100点
>NpcManager_Tips16 该功能仅用于神修的信徒提升信仰度。\n默认信仰度提升一成(也就是+10点)
>NpcManager_Tips17 该功能仅用于神修的信徒降低信仰度。\n默认信仰度降低一成(也就是-10点)\n该功能会自动去除信仰度不大于0的信徒
>NpcManager_Tips18 该功能仅用于删除神修的所有信徒。
>NpcManager_Tips19 该功能仅用于删除神修的全部神国建筑。
>NpcManager_Tips20 该功能仅用于解锁神修的全部神国建筑。
>NpcManager_Tips21 该功能仅用于完成神修现有愿望表中的全部愿望。
>NpcManager_Tips22 使NPC的神识，根骨，魅力，机缘，悟性全满
>NpcManager_Tips23 该NPC的精神，饱食，口渴，精元，灵气等需求全部变成满值
>NpcManager_Tips24 该NPC的精神，饱食，口渴，精元，灵气等需求全部变成0
>NpcManager_Tips25 使该NPC与其他人物的关系变好
>NpcManager_Tips26 使该NPC与其他人物的关系变为0
>NpcManager_Tips27 使该NPC与其他人物的关系变差
>NpcManager_Tips28 将该NPC的人物关系列表重置
>NpcManager_Tips29 清空该NPC的所有耐药性(耐药性列表)
>NpcManager_Tips30 清空该NPC的所有记忆(记忆列表)
>NpcManager_Tips31 使该NPC变成一具傀儡
>NpcManager_Tips32 使该NPC变成僵尸
>NpcManager_Tips33 使该NPC变成妖兽
>NpcManager_Tips34 使该NPC变成灵兽\n重新选中NPC才会刷新描述!!
>NpcManager_Tips35 使该NPC的灵兽数据删除\n重新选中NPC才会刷新描述!!
>NpcManager_Tips36 一般用于使普通动物开启灵智
>NpcManager_Tips37 使有化形劫的妖兽直接化形
>NpcManager_Tips38 允许该NPC改变位置(可以理解为取消“定身”)\n重新选中NPC才会刷新描述!!
>NpcManager_Tips39 不允许该NPC改变位置(可以理解为“定身”)\n重新选中NPC才会刷新描述!!
>NpcManager_Tips40 使该NPC玄牝重生(等效于吃玄牝重生丹)
>NpcManager_Tips41 恢复该NPC的道基，使其可以修炼\n重新选中NPC才会刷新描述!!
>NpcManager_Tips42 摧毁该NPC的道基，使其无法修炼\n重新选中NPC才会刷新描述!!
>NpcManager_Tips43 改变该NPC的位置到一个附近随机的一个可到达点(通常用来解决NPC卡住的问题)
>NpcManager_Tips44 提升信徒信仰度成功!
>NpcManager_Tips45 不是神修或不可用导致提升信徒信仰度失败!
>NpcManager_Tips46 降低信徒信仰度成功!
>NpcManager_Tips47 不是神修或不可用导致降低信徒信仰度失败!
>NpcManager_Tips48 招收信徒成功!
>NpcManager_Tips49 不是神修或不可用导致招收信徒失败!
>NpcManager_Tips50 清空信徒成功!
>NpcManager_Tips51 不是神修或不可用导致清空信徒失败!
>NpcManager_Tips52 清空神国全部建筑成功!
>NpcManager_Tips53 不是神修或不可用导致清空神国全部建筑失败!
>NpcManager_Tips54 完成全部愿望成功!
>NpcManager_Tips55 不是神修或不可用导致完成全部愿望失败!
>NpcManager_Tips56 解锁神国全部建筑成功!
>NpcManager_Tips57 不是神修或不可用导致解锁失败!
>NpcManager_Tips58 NPC化形成功!
>NpcManager_Tips59 已化形!
>NpcManager_Tips60 化形失败!
>NpcManager_Tips61 改变NPC位置成功!
>NpcManager_Tips62 改变NPC位置失败!
>NpcManager_Tips63 对道基的操作成功!
>NpcManager_Tips64 对道基的操作失败!
>NpcManager_Tips65 重生成功!
>NpcManager_Tips66 重生失败!
>NpcManager_Tips67 变成灵兽修改成功!
>NpcManager_Tips68 变成灵兽修改失败!
>NpcManager_Tips69 变成妖兽修改成功!
>NpcManager_Tips70 变成妖兽修改失败!
>NpcManager_Tips71 突破瓶颈修改成功!
>NpcManager_Tips72 突破瓶颈修改失败!
>NpcManager_Tips73 执念升级成功!
>NpcManager_Tips74 执念升级失败!
>NpcManager_Tips75 执念全满成功!
>NpcManager_Tips76 执念全满失败!
>NpcManager_Tips77 拉满五维成功!
>NpcManager_Tips78 拉满五维失败!
>NpcManager_Tips79 清空执念成功!
>NpcManager_Tips80 清空执念失败!
>NpcManager_Tips81 提升境界成功!
>NpcManager_Tips82 提升境界失败!
>NpcManager_Tips83 卸掉装备成功!
>NpcManager_Tips84 卸掉装备失败!
>NpcManager_Tips85 好感全满成功!
>NpcManager_Tips86 好感全满失败!
>NpcManager_Tips87 好感归零成功!
>NpcManager_Tips88 好感归零失败!
>NpcManager_Tips89 好感全负成功!
>NpcManager_Tips90 好感全负失败!
>NpcManager_Tips91 重置关系成功!
>NpcManager_Tips92 重置关系失败!
>NpcManager_Tips93 变成傀儡成功!
>NpcManager_Tips94 变成傀儡失败!
>NpcManager_Tips95 变成僵尸成功!
>NpcManager_Tips96 变成僵尸失败!
>NpcManager_Tips97 杀死劫云成功!
>NpcManager_Tips98 杀死劫云失败!
>NpcManager_Tips99 再造身躯成功!
>NpcManager_Tips100 再造身躯失败!
>NpcManager_Tips101 尝试天雷轰杀成功!
>NpcManager_Tips102 尝试天雷轰杀失败!
>NpcManager_Tips103 修复创伤成功!
>NpcManager_Tips104 修复创伤失败!
>NpcManager_Tips105 击杀成功!
>NpcManager_Tips106 击杀失败!
>NpcManager_Tips107 拯救成功!
>NpcManager_Tips108 拯救失败!
>NpcManager_Tips109 强力拯救成功!
>NpcManager_Tips110 强力拯救失败!
>NpcManager_Tips111 需求全满成功!
>NpcManager_Tips112 需求全满失败!
>NpcManager_Tips113 需求全空成功!
>NpcManager_Tips114 需求全空失败!
>NpcManager_Tips115 去除耐药性成功!
>NpcManager_Tips116 去除耐药性失败!
>NpcManager_Tips117 清除记忆成功!
>NpcManager_Tips118 清除记忆失败!
>NpcManager_Tips119 移除NPC成功!
>NpcManager_Tips120 移除NPC失败!
>NpcManager_Tips121 NPC禁止移动!
>NpcManager_Tips122 NPC允许移动!
>NpcManager_Tips123 克隆NPC成功!
>NpcManager_Tips124 克隆NPC失败!
>NpcManager_Tips125 死者复生成功!
>NpcManager_Tips126 死者复生失败!
>NpcManager_Tips127 启智成功!
>NpcManager_Tips128 启智失败!
>NpcManager_Tips129 内心受到亿点伤害。
>NpcManager_Tips130 当前功能
>NpcManager_Tips131 BuffID:
>NpcManager_Tips132 添加Buff
>NpcManager_Tips133 移除Buff
>NpcManager_Tips134 特性ID:
>NpcManager_Tips135 添加特性
>NpcManager_Tips136 移除特性
>NpcManager_Tips137 经历ID:
>NpcManager_Tips138 添加经历
>NpcManager_Tips139 移除经历
>NpcManager_Tips140 心情ID:
>NpcManager_Tips141 添加心情
>NpcManager_Tips142 移除心情
>NpcManager_Tips143 刷新列表
>NpcManager_Tips144 人物基础属性
>NpcManager_Tips145 查看所有的Modifiers
>NpcManager_Tips146 查看所有的Feature
>NpcManager_Tips147 查看所有的Experience
>NpcManager_Tips148 查看所有的Mood
>NpcManager_Tips149 刷新人物列表成功!
>NpcManager_Tips150 刷新NPC列表成功!
>NpcManager_Tips151 当前选择的NPC
>NpcManager_Tips152 :Modifier列表刷新成功!
>NpcManager_Tips153 :Feature列表刷新成功!
>NpcManager_Tips154 :Experience列表刷新成功!
>NpcManager_Tips155 :Mood列表刷新成功!
>NpcManager_Tips156 类型修改成功!
>NpcManager_Tips157 编号为空,修改失败!
>NpcManager_Tips158 编号溢出,修改失败!
>NpcManager_Tips159 附加值V
>NpcManager_Tips160 附加值P
>NpcManager_Tips161 基础值V
>NpcManager_Tips162 基础值P
>NpcManager_Tips163 全部有智慧的NPC，进入基础属性修改模块
>NpcManager_Tips164 地图上的全部NPC，进入基础属性修改模块
>NpcManager_Tips165 全部Buff（词条），进入Modifier修改模块
>NpcManager_Tips166 全部特性，进入特性修改模块
>NpcManager_Tips167 全部经历，进入经历修改模块
>NpcManager_Tips168 全部心情，进入心情修改模块
>NpcManager_Tips169 功法秘籍:\n1.功法添加,功法换修.\n2.秘籍添加,秘籍移除.\n3.修改金丹值.
>NpcManager_Tips170 需求关系:\n1.修改,添加,移除人物称号.\n2.修改人物的需求(饥饿度,娱乐值等).\n3.修改人物间的关系.
>NpcManager_Tips171 其他体系:\n1.体修属性修改.\n2.妖兽思绪管理.
>NpcManager_Tips172 用来选中NPC
>NpcManager_Tips173 用来粘贴来自“江湖管理”的数据
>NpcManager_Tips174 修改成功!
>NpcManager_Tips175 显示全部属性!
>NpcManager_Tips176 粘贴成功!
>NpcManager_Tips177 无数据!
>NpcManager_Tips178 显示所有的人物.
>NpcManager_Tips179 显示所有的NPC.
>NpcManager_Tips180 进入更多设置成功!
>NpcManager_Tips181 当前选中的NPC为空或不可用!
>NpcManager_Tips182 进入功法秘籍管理成功!
>NpcManager_Tips183 进入更多体系修改成功!
>NpcManager_Tips184 查找的属性
>NpcManager_Tips185 属性
>NpcManager_Tips186 选中列表
>NpcManager_Tips187 AllModifier列表
>NpcManager_Tips188 移除失败
>NpcManager_Tips189 Modifier列表--
>NpcManager_Tips190 全部特性列表
>NpcManager_Tips191 特性列表--
>NpcManager_Tips192 全部经历列表
>NpcManager_Tips193 经历列表--
>NpcManager_Tips194 全部心情列表
>NpcManager_Tips195 移除全部时效心情!
>NpcManager_Tips196 移除全部心情!
>NpcManager_Tips197 心情列表--
